ElectoralDistrictID,District,Bureau,Poste,Candidat,Partie,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes
11,11-Sault-au-Récollet,003,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,59,160,1,161
11,11-Sault-au-Récollet,003,"0,00",KACOU Jean-François,Futur Montréal,1,160,1,161
11,11-Sault-au-Récollet,003,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,75,160,1,161
11,11-Sault-au-Récollet,003,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,12,160,1,161
11,11-Sault-au-Récollet,030,"0,00",DUVAL Jean,Indépendant,0,193,2,195
11,11-Sault-au-Récollet,030,"0,00",HU Fang,Indépendant,0,193,2,195
11,11-Sault-au-Récollet,030,"0,00",LE ROUGETEL Katy,Indépendant,0,193,2,195
11,11-Sault-au-Récollet,030,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,11,193,2,195
11,11-Sault-au-Récollet,030,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,96,193,2,195
11,11-Sault-au-Récollet,030,"0,00",KACOU Jean-François,Futur Montréal,2,193,2,195
11,11-Sault-au-Récollet,030,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,66,193,2,195
11,11-Sault-au-Récollet,030,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,18,193,2,195
11,11-Sault-au-Récollet,301,"0,00",DUVAL Jean,Indépendant,4,72,8,80
11,11-Sault-au-Récollet,301,"0,00",HU Fang,Indépendant,0,72,8,80
11,11-Sault-au-Récollet,301,"0,00",LE ROUGETEL Katy,Indépendant,7,72,8,80
11,11-Sault-au-Récollet,301,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,13,72,8,80
11,11-Sault-au-Récollet,301,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,22,72,8,80
11,11-Sault-au-Récollet,301,"0,00",KACOU Jean-François,Futur Montréal,7,72,8,80
11,11-Sault-au-Récollet,301,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,13,72,8,80
11,11-Sault-au-Récollet,301,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,6,72,8,80
11,11-Sault-au-Récollet,031,"0,00",DUVAL Jean,Indépendant,0,150,2,152
11,11-Sault-au-Récollet,031,"0,00",HU Fang,Indépendant,0,150,2,152
11,11-Sault-au-Récollet,031,"0,00",LE ROUGETEL Katy,Indépendant,0,150,2,152
11,11-Sault-au-Récollet,031,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,31,150,2,152
11,11-Sault-au-Récollet,031,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,68,150,2,152
11,11-Sault-au-Récollet,031,"0,00",KACOU Jean-François,Futur Montréal,3,150,2,152
11,11-Sault-au-Récollet,031,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,40,150,2,152
11,11-Sault-au-Récollet,031,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,8,150,2,152
11,11-Sault-au-Récollet,032,"0,00",DUVAL Jean,Indépendant,1,153,3,156
11,11-Sault-au-Récollet,032,"0,00",HU Fang,Indépendant,0,153,3,156
11,11-Sault-au-Récollet,032,"0,00",LE ROUGETEL Katy,Indépendant,0,153,3,156
11,11-Sault-au-Récollet,032,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,31,153,3,156
11,11-Sault-au-Récollet,032,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,64,153,3,156
11,11-Sault-au-Récollet,032,"0,00",KACOU Jean-François,Futur Montréal,8,153,3,156
11,11-Sault-au-Récollet,032,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,44,153,3,156
11,11-Sault-au-Récollet,032,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,5,153,3,156
11,11-Sault-au-Récollet,033,"0,00",DUVAL Jean,Indépendant,0,148,6,154
11,11-Sault-au-Récollet,033,"0,00",HU Fang,Indépendant,0,148,6,154
11,11-Sault-au-Récollet,033,"0,00",LE ROUGETEL Katy,Indépendant,1,148,6,154
11,11-Sault-au-Récollet,033,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,29,148,6,154
11,11-Sault-au-Récollet,033,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,63,148,6,154
11,11-Sault-au-Récollet,033,"0,00",KACOU Jean-François,Futur Montréal,5,148,6,154
11,11-Sault-au-Récollet,033,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,44,148,6,154
11,11-Sault-au-Récollet,033,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,6,148,6,154
11,11-Sault-au-Récollet,034,"0,00",DUVAL Jean,Indépendant,0,117,4,121
11,11-Sault-au-Récollet,034,"0,00",HU Fang,Indépendant,0,117,4,121
11,11-Sault-au-Récollet,034,"0,00",LE ROUGETEL Katy,Indépendant,1,117,4,121
11,11-Sault-au-Récollet,034,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,17,117,4,121
11,11-Sault-au-Récollet,034,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,44,117,4,121
11,11-Sault-au-Récollet,034,"0,00",KACOU Jean-François,Futur Montréal,3,117,4,121
11,11-Sault-au-Récollet,034,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,46,117,4,121
11,11-Sault-au-Récollet,034,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,6,117,4,121
11,11-Sault-au-Récollet,035,"0,00",DUVAL Jean,Indépendant,0,145,3,148
11,11-Sault-au-Récollet,035,"0,00",HU Fang,Indépendant,0,145,3,148
11,11-Sault-au-Récollet,035,"0,00",LE ROUGETEL Katy,Indépendant,0,145,3,148
11,11-Sault-au-Récollet,035,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,21,145,3,148
11,11-Sault-au-Récollet,035,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,63,145,3,148
11,11-Sault-au-Récollet,035,"0,00",KACOU Jean-François,Futur Montréal,1,145,3,148
11,11-Sault-au-Récollet,035,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,56,145,3,148
11,11-Sault-au-Récollet,035,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,4,145,3,148
11,11-Sault-au-Récollet,036,"0,00",DUVAL Jean,Indépendant,1,111,1,112
11,11-Sault-au-Récollet,036,"0,00",HU Fang,Indépendant,0,111,1,112
11,11-Sault-au-Récollet,036,"0,00",LE ROUGETEL Katy,Indépendant,0,111,1,112
11,11-Sault-au-Récollet,036,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,17,111,1,112
11,11-Sault-au-Récollet,036,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,42,111,1,112
11,11-Sault-au-Récollet,036,"0,00",KACOU Jean-François,Futur Montréal,5,111,1,112
11,11-Sault-au-Récollet,036,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,37,111,1,112
11,11-Sault-au-Récollet,036,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,9,111,1,112
